ID,Name,2019 Revenue,2019 Expenses,2019 Profit,2019 Growth %,2018 Revenue,2018 Expenses,2018 Profit,2018 Growth %,2017 Revenue,2017 Expenses,2017 Profit,Industry,Description,Employees,State,City,Metro Area,Year Founded,Total Growth %,Avg Revenue (2017-2019),Avg Expenses (2017-2019),Avg Profit (2017-2019),Company Founded Longevity,Growth rate in Last 3 Years in %,Admin Spend (2019) Ratio,Marketing & Sales Spend (2019) Ratio,R&D Spend (2019) Ratio,Admin Spend (2019),Marketing & Sales Spend (2019),R&D Spend (2019),Result
14,Indigoholding,9812557.85,4684562.7,5127995.15,4.39,1820544,1192543.15,628000.85,3.59,396632.68,273652.3,122980.38,Logistics & Transportation,"An international logistics company that simplifies relations among vendors, more than 2,500 customers, 68 of its own trucking units and a database of 22,500 carriers nationwide.",78,OH,Blue Ash,Cincinnati,2013,23.74,4009911.51,2050252.72,1959658.79,7,11.87,0.1952,0.3183,0.4865,914426.639,1491096.307,2279039.754,0
15,Lexinamex,13058157.3,4403888.23,8654269.06,3.72,2765577,718234.99,2047342.01,3.68,590935.26,145540.26,445395,Insurance,"Provides back-end financial management services for health benefit administrators, health plans, private exchanges, and state governments in all 50 states.",87,NE,Omaha,"Omaha-Council Bluffs, NE-IA",2017,21.1,5471556.52,1755887.83,3715668.69,3,10.55,0.1858,0.272,0.5422,818242.433,1197857.599,2387788.198,1
16,Treslam,3387469.45,4127983.72,-740514.27,3.54,746714,756529.58,-9815.58,2.79,197022.16,250006.35,-52984.19,Financial Services,"A payment processor serving sales agents, financial institutions and merchants with services and benefits including next-day funding with a late cut-off time and graphical, Web-based reporting.",116,MO,Clayton,"St. Louis, MO-IL",2013,16.19,1443735.2,1711506.55,-267771.35,7,8.095,0.161,0.2853,0.5537,664605.379,1177713.755,2285664.586,0
17,O-Tindax,6747854.97,2343975.47,4403879.49,3.78,1412877,762645.95,650231.05,4.84,241930.99,139798.9,102132.09,Insurance,"An IT consultancy exclusively focused on SAP integration, applications, analytics, training, and staff augmentation.",2,PA,Bethel Park,"Pittsburgh, PA",2014,26.89,2800887.65,1082140.11,1718747.54,6,13.445,0.1685,0.2011,0.6304,394959.867,471373.467,1477642.136,0
18,Doublelane,9526169.62,3633056.6,5893113.02,3.93,1934156,770914.71,1163241.29,3.69,412400,147343.21,265056.79,Food & Beverage,A family-owned restaurant business that offers live music in addition to a Southern food menu. It hires from within the community it serves when expanding its business.,515,TN,Franklin,Nashville,2016,22.1,3957575.21,1517104.84,2440470.37,4,11.05,0.1584,0.2633,0.5783,575476.165,956583.803,2100996.632,0
19,Rednimdox,7305864.89,3601876.67,3703988.22,2.61,2026435,650983.56,1375451.44,1.94,689263.61,171742.2,517521.41,Construction,"An electrical contractor that offers electrical and power services, from core and shell construction and complex power installations to sophisticated wiring installations for multi-floor fit-outs and complex life safety control installations.",73,NY,Woodside,New York City,2017,9.6,3340521.17,1474867.48,1865653.69,3,4.8,0.1646,0.2253,0.6101,592868.9,811502.814,2197504.956,0
20,Lamtone,6757017.7,6482465.45,274552.25,4.39,1252860,1446341.46,-193481.46,3.79,261557.41,459340.54,-197783.13,IT Services,"Helps companies simplify IT operations by building and integrating data center operations. Kovarus has expertise in virtualization, storage and cloud platforms.",55,CA,San Ramon,San Francisco,2013,24.83,2757145.04,2796049.15,-38904.11,7,12.415,0.1757,0.2578,0.5665,1138969.18,1671179.593,3672316.677,0
21,Geocom,9442767.87,4380960.93,5061806.94,5.63,1423331,593894.05,829436.95,5.14,231812.87,134113.08,97699.79,Telecommunications,"A single source provider for microwave point-to-point and point-to-multipoint radio networks. Its specialties include applications for wireless backhaul, ultra low latency HFT and wireless point to point communication links.",115,CA,Oxnard,"Oxnard-Thousand Oaks-Ventura, CA",2014,39.73,3699303.91,1702989.35,1996314.56,6,19.865,0.2413,0.2291,0.5296,1057125.872,1003678.149,2320156.909,0
22,Stripfind,10329371.27,2916455.2,7412916.07,3.05,2550629,753450.42,1797178.58,2.47,735051.59,245290.54,489761.05,Financial Services,Provides cloud-based electronic payment and social marketing software to businesses of all sizes.,25,FL,Boca Raton,Miami,2014,13.05,4538350.62,1305065.39,3233285.23,6,6.525,0.1694,0.2657,0.5649,494047.511,774902.147,1647505.542,0
23,Canecorporation,10597009.1,5591188.97,5005820.12,4.26,2013864,1081023.23,932840.77,3.47,450528.86,350511.46,100017.4,Health,"Manufactures and markets a noninvasive electrotherapy medical device that treats depression, anxiety, and insomnia without drugs.",6,NY,New York,New York City,2016,22.52,4353800.65,2340907.89,2012892.76,4,11.26,0.2972,0.259,0.4438,1661701.362,1448117.943,2481369.665,0
24,Cankix,8719722.9,2513916.7,6205806.2,3.01,2173758,674560.03,1499197.97,4.23,415632.5,103289.47,312343.03,Business Products & Services,A boutique experience research and design agency.,15,NY,New York,New York City,2014,19.98,3769704.47,1097255.4,2672449.07,6,9.99,0.211,0.2116,0.5774,530436.424,531944.774,1451535.503,0
25,Mattouch,9026933.51,7429377.01,1597556.5,5.17,1463948,1425399.39,38548.61,4.7,256832.98,326466.36,-69633.38,IT Services,Provides design and development services for websites and mobile apps as well as providing marketing strategy.,6,WA,Bellevue,Seattle,2017,34.15,3582571.5,3060414.25,522157.24,3,17.075,0.1757,0.3255,0.4988,1305341.541,2418262.217,3705773.253,0
26,Physgreen,10376896.73,2724847.36,7652049.37,4.7,1821763,539673.73,1282089.27,2.8,479411.32,209653.25,269758.07,Consumer Products & Services,Designs and makes rugged and semi-rugged cases to safeguard mobile electronics devices and other valuables.,800,CO,Fort Collins,"Boulder, CO",2017,20.65,4226023.68,1158058.11,3067965.57,3,10.325,0.2475,0.3168,0.4357,674399.722,863231.644,1187215.995,0
27,Cantonlux,9922154.79,1888735.19,8033419.6,4.19,1913577,611164.5,1302412.5,4.26,363797.91,159327.05,204470.86,Food & Beverage,"Imports chocolate and bulk non-GMO sweeteners primarily from Columbia, warehouses them in public warehouses throughout North America and sells them to industrial food manufacturers.",7,KS,Overland Park,"Kansas City, MO-KS",2016,26.27,4066509.9,886408.91,3180100.99,4,13.135,0.1447,0.2482,0.6071,273299.982,468784.074,1146651.134,0
28,Techdrill,10573989.85,5435362.79,5138627.06,4.7,1853910,1162004.22,691905.78,3.96,373772.18,439251.3,-65479.12,Health,Works with a discount medical plan organization (DMPO) to offer a provider-owned network of chiropractors who want to assist patients who are uninsured or underinsured by offering discounts upon membership.,9,MS,Flowood,"Jackson, MS",2013,27.29,4267224.01,2345539.44,1921684.57,7,13.645,0.2891,0.344,0.3669,1571363.383,1869764.8,1994234.608,0
29,Techline,8898119.1,5470303.34,3427815.76,3.61,1929122,1052713.9,876408.1,3.75,406130.95,209790.75,196340.2,IT Services,Provides professional staff that are knowledgeable in multiple areas of digital technology to companies undergoing critical changes and growth.,65,CA,San Ramon,San Francisco,2010,20.91,3744457.35,2244269.33,1500188.02,10,10.455,0.2125,0.3395,0.448,1162439.46,1857167.984,2450695.896,0
30,Ganzhouse,13877422.82,5878551.72,7998871.1,2.86,3595257,3212712.71,382544.29,1.76,1302629.35,2602738.1,-1300108.75,Human Resources,"An executive search, consulting, and staffing firm with five practice groups: financial services, accounting and finance, IT, administrative services, and health care staffing.",44,GA,Atlanta,Atlanta,2016,9.65,6258436.39,3898000.84,2360435.55,4,4.825,0.21,0.3148,0.4752,1234495.861,1850568.081,2793487.777,0
31,Cityace,9254614.34,4249498.21,5005116.13,5.91,1339326,576382.06,762943.94,4.29,253180.72,110301.48,142879.24,Health,A biopharmaceutical company focused on developing products for the treatment of cancer and infectious diseases based on its proprietary Tarmogen platform. It has four Tarmogen product candidates in clinical evaluation for infectious disease and multiple cancer indications.,25,CO,Louisville,"Boulder, CO",2014,35.55,3615707.02,1645393.92,1970313.1,6,17.775,0.1652,0.2017,0.6331,702017.104,857123.789,2690357.317,0
32,Tres-How,7028879.61,2870972.65,4157906.96,3.56,1542352,669963.69,872388.31,3.24,363762.26,205638.94,158123.32,Advertising & Marketing,"A full-service promotional marketing agency that designs and implements live event campaigns featuring its roster of models, dancers, costume characters, emcees, artists, and drivers.",12,FL,Fort Myers,"Cape Coral-Fort Myers, FL",2017,18.32,2978331.29,1248858.43,1729472.86,3,9.16,0.2015,0.3129,0.4856,578500.989,898327.342,1394144.319,0
33,Domphase,7361115.86,4029599.52,3331516.34,4.69,1293727,582755.97,710971.03,3.87,265652.36,112143.03,153509.33,Business Products & Services,"A meetings and events organizer that sources venues, plans events, and manages registration for companies in the financial, professional services and technology sectors.",16,NY,New York,New York City,2011,26.71,2973498.41,1574832.84,1398665.57,9,13.355,0.1617,0.216,0.6223,651586.242,870393.496,2507619.781,0
34,Kayelectronics,9451942.98,1878113.23,7573829.75,3.39,2150996,599589.92,1551406.08,3.37,492218.76,99581.27,392637.49,Health,Owns and operates urgent care facilities throughout North Carolina and Arizona. It offers walk-in medical services and delivery of medication to patients.,687,NC,Clayton,"Raleigh-Cary, NC",2013,18.2,4031719.25,859094.81,3172624.44,7,9.1,0.1626,0.2724,0.565,305381.211,511598.044,1061133.975,0
35,Ganzlax,9001179.91,5480069.12,3521110.79,4.39,1671118,1175840.28,495277.72,6,238731.14,190748.19,47982.95,IT Services,"A technology consulting firm that delivers cusomized services to commercial and government clients including Freddie Mac, Home Depot, and Honda.",75,NJ,Iselin,New York City,2015,36.7,3637009.68,2282219.2,1354790.49,5,18.35,0.1824,0.278,0.5396,999564.607,1523459.215,2957045.297,0
36,Trantraxlax,11088335.91,4635276.43,6453059.48,4.92,1873165,691999.36,1181165.64,2.68,509012.23,143099.97,365912.26,Government Services,"Offers systems integration, project management and strategy consulting to federal clients such as the Naval Research Laboratory and NASA's Independent Program Assessment Office.",35,VA,Suffolk,"Virginia Beach-Norfolk-Newport News, VA-NC",2015,20.78,4490171.05,1823458.59,2666712.46,5,10.39,0.1747,0.2972,0.5281,809782.792,1377604.155,2447889.483,0
37,Silicon-Hex,8442981.89,4760361.86,3682620.03,3.91,1719257,852393.65,866863.35,3.89,351586.3,151057.68,200528.62,Food & Beverage,"Makes organic ice cream, selling dozens of flavors at its four scoop shop locations, as well as selling packaged varieties and selling to cafes and restaurants across the country.",58,CA,Petaluma,San Francisco,2016,23.01,3504608.4,1921271.06,1583337.33,4,11.505,0.2478,0.2457,0.5065,1179617.669,1169620.909,2411123.282,0
38,E-Zim,8746450.9,4762319.44,3984131.46,2.84,2275641,4002426.68,-1726785.68,1.86,795678.67,1305556.44,-509877.77,Retail,"Operates a family of online stores that supply products that create and maintain a healthy, safe, efficient and comfortable home environment. Offerings include heating and cooling, plumbing, air conditioning, and refrigeration products.",21,OH,Monroe,Cincinnati,2012,9.99,3939256.86,3356767.52,582489.34,8,4.995,0.1472,0.3226,0.5302,701013.422,1536324.251,2524981.767,0
39,Daltfase,11410628.36,6196409.02,5214219.33,3.75,2403255,1374611.16,1028643.84,2.58,671300.28,817467.13,-146166.85,Software,"Develops technology used by the music industry, including artists, managers, labels, venues and festivals, for promotion, content management and cross-media licensing opportunities.",78,NC,Durham,"Durham, NC",2015,16,4828394.55,2796162.44,2032232.11,5,8,0.1766,0.2965,0.5269,1094285.833,1837235.274,3264887.913,0
40,Alphalex,9423616.52,2248331.18,7175285.33,2.78,2492833,631354.16,1861478.84,2.69,675564.5,208892.8,466671.7,Advertising & Marketing,A full-service incentive Internet marketing agency.,4,FL,Sarasota,"Panama City-Lynn Haven, FL",2016,12.95,4197338.01,1029526.05,3167811.96,4,6.475,0.221,0.2275,0.5515,496881.191,511495.343,1239954.646,0
41,Ozerholdings,7411035.41,5207963.99,2203071.42,4.91,1254112,935272.65,318839.35,4.18,242106.56,245455.18,-3348.62,Energy,"Specializes in asset integrity for the oil & gas, chemical and mining industries. PinnacleAIS offers software targeting inspection data management, risk-based inspection and vessel & stress analysis.",278,TX,Pasadena,Houston,2016,29.61,2969084.66,2129563.94,839520.72,4,14.805,0.2338,0.3233,0.4429,1217621.981,1683734.758,2306607.251,0
42,Subflex,11205062.88,4368200.09,6836862.78,4.2,2153863,893933.85,1259929.15,3.25,506791.29,251450.75,255340.54,Consumer Products & Services,"A consumer trade-in site that exchanges used cell phones and other electronic gadgets for cash, then resells or recycles them. To date it has accepted more than 1.5 million trade-ins.",136,MA,Boston,Boston,2014,21.11,4621905.72,1837861.56,2784044.16,6,10.555,0.1925,0.2319,0.5756,840878.517,1012985.601,2514335.972,0
43,Hotlane,7978332.2,4686573.62,3291758.58,3.07,1959385,1149865.24,809519.76,3.22,464309.24,321487.88,142821.36,Government Services,"Provides software development, engineering, programmatic support, data integration, systems development, enterprise architecture, material procurement. and meteorological services to customers in the Department of Defense and in private industry.",87,AL,Huntsville,"Huntsville, AL",2016,16.18,3467342.15,2052642.25,1414699.9,4,8.09,0.221,0.3495,0.4295,1035732.77,1637957.48,2012883.37,0
44,Salttrans,7346281.01,3298689.94,4047591.06,7.08,908734,493550.69,415183.31,7,113591.75,61804.55,51787.2,Consumer Products & Services,"A curated guide to shopping deals with more than 10 million e-mail subscribers and partnerships with more than 3,000 retailers.",48,IL,Chicago,Chicago,2016,63.67,2789535.59,1284681.73,1504853.86,4,31.835,0.281,0.2262,0.4928,926931.873,746163.664,1625594.402,0
45,Lathotline,9418302.78,7567232.7,1851070.07,4.94,1586606,930607.34,655998.66,5.33,250648.66,137654.27,112994.39,Health,"Specializes in clinical and consulting services for health-focused federal agencies as well as the health care industry. Specific areas of expertise include clinical services, military and veterans health, federal health care initiatives, pharmacy consulting, technology, and global public health.",103,VA,McLean,"Washington, DC",2016,36.58,3751852.48,2878498.1,873354.37,4,18.29,0.2597,0.3481,0.3922,1965210.332,2634153.703,2967868.665,0
46,E-Care,8365394.13,5976072.71,2389321.42,5.46,1295938,1298165.61,-2227.61,6.11,182269.76,153626.01,28643.75,Advertising & Marketing,"Specializes in creating custom marketing programs aimed at niche readers of digital arts, culture and style publications, combining content, innovative displays, pop-up shops, applications and events.",23,NY,New York,New York City,2015,44.9,3281200.63,2475954.78,805245.85,5,22.45,0.2862,0.2897,0.4241,1710352.01,1731268.264,2534452.436,0
47,Opedrill,7789730.11,2039850.33,5749879.78,3.32,1804959,568643.16,1236315.84,4.07,356007.69,62507.98,293499.71,Telecommunications,"Offers high-bandwidth, low-latency networking services for financial, content, carrier, and enterprise customers. Its direct linear connections provide microsecond carriage throughout most of the major exchanges within the New York and New Jersey area. Its X-change Connect platform is also available at major international financial hubs including Toronto, London, Singapore, and Hong Kong.",13,NJ,Paramus,New York City,2013,20.88,3316898.93,890333.82,2426565.11,7,10.44,0.2628,0.2532,0.484,536072.667,516490.104,987287.56,0
48,Lambam,6950148.2,4365512.46,2584635.75,4.88,1181888,711255.33,470632.67,4.17,228605.03,136787.8,91817.23,IT Services,"Develops comprehensive software for virtual, physical and cloud-based backup and disaster recovery, allowing IT professionals to protect and quickly restore data, applications and operating systems.",210,SC,Columbia,"Columbia, SC",2016,29.4,2786880.41,1737851.86,1049028.55,4,14.7,0.2131,0.2526,0.5343,930290.705,1102728.447,2332493.307,0
49,Quotedax,8984621.31,6227869.4,2756751.91,2.64,2468524,2150961.65,317562.35,2.66,674460.11,409337.32,265122.79,Food & Beverage,A chocolate manufacturing company that was founded by Peace Corp volunteers to create new economies in Africa. Its products are available at retailers nationwide and online.,8,NY,Brooklyn,New York City,2014,12.32,4042535.14,2929389.46,1113145.68,6,6.16,0.1863,0.2378,0.5759,1160252.069,1480987.343,3586629.987,0
50,Cityla,6104274.9,5135359.23,968915.67,4.06,1205880,983735.18,222144.82,4.13,235064.33,202147.22,32917.11,Human Resources,"An online, membership-based community of more than 375,000 people looking for their next career opportunities in hedge funds, investment banking and technology.",38,NY,New York,New York City,2017,24.97,2515073.08,2107080.54,407992.53,3,12.485,0.1941,0.3192,0.4867,996773.227,1639206.666,2499379.337,0
51,Quotecity,10878836.69,3974483.24,6904353.45,5.84,1591351,563123.13,1028227.87,6.2,221020.97,71004.07,150016.9,Consumer Products & Services,"Builds trailers for all purposes, from smaller cargo carriers to large custom-built truck trailers. LOOK partners with dealers and to provide products that offer value, special features, and customer service.",360,IN,Middlebury,"Elkhart-Goshen, IN",2014,48.22,4230402.89,1536203.48,2694199.41,6,24.11,0.1975,0.2082,0.5943,784960.44,827487.411,2362035.39,0
52,Vaia-Dax,10345434.51,4113501.81,6231932.7,2.78,2740337,1291500.95,1448836.05,0.64,1670937.2,711397.69,959539.51,Logistics & Transportation,"Offers commercial trucking fleet safety, security, and productivity technology products.",5,CA,Newport Beach,Los Angeles,2012,5.19,4918902.9,2038800.15,2880102.75,8,2.595,0.2778,0.2198,0.5024,1142730.803,904147.698,2066623.309,0
53,Zimkeyfind,6732003.38,7459279.2,-727275.81,2.51,1918791,1709044.93,209746.07,1.67,718648.31,1422732.41,-704084.1,Consumer Products & Services,Offers a variety of e-liquids and innovative products used in e-cigarettes.,52,WI,Hartland,"Milwaukee-Waukesha-West Allis, WI",2016,8.37,3123147.56,3530352.18,-407204.61,4,4.185,0.2198,0.261,0.5192,1639549.568,1946871.871,3872857.761,0
54,Quozap,9304479.81,7019973.12,2284506.69,3.53,2054688,2186711.35,-132023.35,3.63,443777.11,514815.98,-71038.87,Software,"Creates mobile real estate applications that enable clients to search for homes by GPS location or by city, state, or ZIP code.",21,NJ,Collingswood,Philadelphia,2008,19.97,3934314.97,3240500.15,693814.82,12,9.985,0.1573,0.2015,0.6412,1104241.772,1414524.584,4501206.765,0
55,Medunoway,9849066.98,1454546.35,8394520.63,3.9,2010861,232999.44,1777861.56,3.48,448852.9,48279.82,400573.08,Business Products & Services,"A commercial barter company that operates an online network for businesses featuring more than 36,000 services and items that members can trade using online credits.",17,AZ,Phoenix,Phoenix,2013,20.94,4102926.96,578608.54,3524318.42,7,10.47,0.1973,0.2878,0.5149,286981.995,418618.44,748945.916,1
56,Tampware,9785981.6,2910756.2,6875225.39,4.29,1848861,696478.73,1152382.27,4.48,337383.39,135907.75,201475.64,Construction,"A full-service architecture firm that specializes in tenant finish and ground-up projects for the office, retail, health care, industrial, and energy industries.",13,TX,Houston,Houston,2015,28.01,3990742,1247714.23,2743027.77,5,14.005,0.232,0.3213,0.4467,675295.438,935225.967,1300234.795,0
57,Tindex,12159972.52,4909604.34,7250368.18,4.27,2307883,818141.76,1489741.24,2.96,582798.74,187468.83,395329.91,Computer Hardware,Provides clients with a streamlined purchasing process for IT hardware. Avanti offers a product line of more than 4 million parts.,11,MN,Spring Park,Minneapolis,2015,19.86,5016884.75,1971738.31,3045146.44,5,9.93,0.1582,0.2857,0.5561,776699.407,1402673.96,2730230.973,0
58,Dalthow,10800718.18,5731820.14,5068898.05,4.18,2086547,941779.72,1144767.28,4.91,353053.64,137315.86,215737.78,Health,"Provides software focused on the areas of medical coding, compliance, and education with the goal of increasing revenue for its health-care-providing customers by making sure all services are reimbursed and any audits are understood and implemented properly.",20,GA,Dacula,Atlanta,2004,29.59,4413439.61,2270305.24,2143134.37,16,14.795,0.224,0.2258,0.5502,1283927.711,1294244.988,3153647.441,0
59,Scotphase,8069233.11,6229960.44,1839272.67,2.39,2376940,2912610.59,-535670.59,2.65,651216.44,593217.05,57999.39,Insurance,A home warranty is a service contract that covers the repair or replacement of many of the most frequently occurring breakdowns of home system components and appliances.,87,NJ,Edison,New York City,2013,11.39,3699129.85,3245262.69,453867.16,7,5.695,0.184,0.2159,0.6001,1146312.721,1345048.459,3738599.26,0
60,Ranktech,10515556.67,6439383.96,4076172.71,4.08,2068148,1357756.69,710391.31,5.98,296296.28,203548.98,92747.3,Government Services,Provides global manpower support for a broad spectrum of technical and tactical service requirements for the Department of Defense and other US government agencies.,607,FL,Tampa,Tampa,2014,34.49,4293333.65,2666896.54,1626437.11,6,17.245,0.2755,0.2699,0.4546,1774050.281,1737989.731,2927343.948,0
61,Gogotax,5653904.85,6877747.31,-1223842.47,5.93,815551,867616.67,-52065.67,5,135925.17,122476.58,13448.59,Telecommunications,"Develops safe driving systems to improve driver behavior with real-time mentoring and alerts. Its software is marketed to business fleets, racing organizations and parents with teen drivers.",218,UT,Salt Lake City,Salt Lake City,2014,40.6,2201793.67,2622613.52,-420819.85,6,20.3,0.286,0.269,0.445,1967035.731,1850114.026,3060597.553,0
62,Unadex,6231275.38,2388520.65,3842754.72,5.42,971159,402956.75,568202.25,4.15,188574.56,70281.7,118292.86,Software,Develops SaaS online training for health care and human services providers including senior care and corrections workers and intellectual and developmental disabilities organizations.,280,NC,Cary,"Raleigh-Cary, NC",2017,32.04,2463669.65,953919.7,1509749.94,3,16.02,0.2998,0.2417,0.4585,716078.491,577305.441,1095136.718,0
63,Haycorporation,10212233.26,394322.96,9817910.3,1.75,3710641,591305.78,3119335.22,1.23,1663964.57,270940.69,1393023.88,Human Resources,"A staffing and technology firm that offers talent placement, payroll outsourcing, vendor management, managed services for system integration projects and project management.",123,CA,Irvine,Los Angeles,2015,5.14,5195612.94,418856.48,4776756.47,5,2.57,0.2744,0.2476,0.478,108202.22,97634.365,188486.375,0
64,Groovecane,6811167.82,3560343.36,3250824.47,4.04,1350152,954255.6,395896.4,3.72,286049.15,186873.5,99175.65,Construction,"A homebuilder that constructs traditional homes, cottages, townhomes, and condos.",17,UT,South Jordan,Salt Lake City,2015,22.81,2815789.66,1567157.49,1248632.17,5,11.405,0.2353,0.2345,0.5302,837748.793,834900.518,1887694.049,0
65,Funrantex,10609755.55,963095.57,9646659.98,2.29,3225712,195913.86,3029798.14,2.05,1057610.49,58335.39,999275.1,Business Products & Services,"A B2B appointment setting, lead generation, and sales outsourcer for midmarket and enterprise-level organizations.",42,FL,Coral Springs,Miami,2016,9.03,4964359.35,405781.61,4558577.74,4,4.515,0.1812,0.3232,0.4956,174512.917,311272.488,477310.164,0
